NAME,PRODUCT_SUB_TYPE,WRAPPER_GROUP,COUPON_TYPE,HAS_COUPON_BARRIER,HAS_COUPON,HAS_COUPON_MEMORY,CALL_TYPE,HAS_CALL_PREMIUM,HAS_STEP_UP_AUTO_CALL_HURDLE,HAS_STEP_DOWN_AUTO_CALL_HURDLE,HAS_UPSIDE_PARTICIPATION,HAS_MAXIMUM_RETURN,HAS_DIGITAL_RETURN,HAS_UPSIDE_ABOVE_DIGITAL_RETURN,HAS_UPSIDE_KNOCKOUT,HAS_ABSOLUTE_RETURN,HAS_GEARED_DOWNSIDE,DOWNSIDE_PROTECTION_TYPE,HAS_BEARISH,HAS_RAINBOW,HAS_LOOK_BACK,HAS_REBATE,MULTIPLE_FINAL_VALUATION_DATES_STYLE,HAS_FIXED_TO_FLOAT_TERMS,HAS_ONE_STAR
Buffer Auto-Callable Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,False,False,BUFFER,False,False,False,False,,False,False
Barrier Auto-Callable Step-Up Memory Yield Note,YIELD,NOTE,CONTINGENT,True,True,True,AUTO_CALLABLE,False,True,False,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Barrier Auto-Callable Contingent Yield Note with Growth,GROWTH,NOTE,CONTINGENT,True,True,False,AUTO_CALLABLE,False,False,False,True,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Digital Uncapped Growth Note,GROWTH,NOTE,NONE,False,False,False,NONE,False,False,False,False,False,True,True,False,False,False,NONE,False,False,False,False,,False,False
Buffer Dual Directional Digital Growth Note,GROWTH,NOTE,,False,False,False,,False,False,False,False,False,True,False,False,True,False,BUFFER,False,False,False,False,,False,False
Auto-Callable Step-Up Note,GROWTH,NOTE,NONE,False,False,False,AUTO_WITH_STEP,True,True,False,False,False,True,False,False,False,False,FULL,False,False,False,False,,False,False
Dual Directional Floor Rebate CD,PROTECTION,CD,NONE,False,False,False,NONE,False,False,False,True,False,False,False,False,True,False,FLOOR,False,False,False,True,,False,False
Barrier Auto-Callable Step-Down Contingent Yield Note,YIELD,NOTE,CONTINGENT,True,True,False,AUTO_WITH_STEP,False,False,True,False,False,False,False,False,False,False,BARRIER,False,False,False,False,,False,False
Floor Auto-Callable Uncapped Growth CD,PROTECTION,CD,,False,False,False,AUTO_CALLABLE,True,True,False,True,False,True,False,False,False,False,FLOOR,False,False,False,False,,False,False
Barrier Dual Directional Issuer-Callable Uncapped Growth Note,GROWTH,NOTE,,False,False,False,ISSUER_CALLABLE,True,False,False,True,False,False,False,False,True,False,BARRIER,False,False,False,False,,False,False
Dual Directional Floor Capped Growth Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,True,False,FLOOR,False,False,False,False,,False,False
Floor Dual Directional Uncapped Growth Note,PROTECTION,NOTE,,False,False,False,,False,False,False,True,False,False,False,False,True,False,FLOOR,False,False,False,False,,False,False
Floor Dual Directional Auto-Callable Rebate Note,PROTECTION,NOTE,,False,False,False,AUTO_CALLABLE,False,False,False,False,False,False,False,False,True,False,FLOOR,False,False,False,True,,False,False
Floor Rebate Growth Note,GROWTH,NOTE,,False,False,False,NONE,False,False,False,True,False,False,False,False,False,False,FLOOR,False,False,False,True,,False,False
